transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale
1,2022-11-05,10:47:00,117,Male,41,Clothing,3,300,129,NULL
2,2022-07-09,11:00:00,52,Male,46,Beauty,3,500,145,1500
3,2022-12-12,10:48:00,5,Female,40,Clothing,4,300,84,1200
4,2022-01-06,08:53:00,85,Male,41,Clothing,3,300,129,900
5,2022-11-14,08:35:00,48,Male,46,Beauty,3,500,235,1500
6,2022-08-20,07:40:00,49,Female,40,Clothing,4,300,144,1200
7,2022-10-31,09:38:00,144,Female,64,Clothing,3,50,23,150
8,2022-04-22,11:09:00,54,Male,19,Electronics,3,30,14.7,NULL
9,2022-04-08,08:43:00,66,Female,37,Clothing,3,500,235,1500
10,2022-05-18,10:18:00,6,Female,19,Beauty,1,25,10.5,25
11,2022-05-04,10:52:00,120,Female,64,Clothing,3,50,27,150
12,2022-03-19,08:59:00,58,Male,19,Electronics,3,30,15,90
13,2022-01-17,07:07:00,59,Female,37,Clothing,3,500,185,1500
14,2022-08-17,11:34:00,102,Female,19,Beauty,1,25,7.75,25
15,2022-12-18,06:56:00,137,Female,26,Beauty,2,300,93,600
16,2022-11-23,10:18:00,1,Female,26,Beauty,2,300,102,600
17,2022-07-16,09:11:00,150,Male,30,Beauty,3,30,8.4,90
18,2022-07-09,07:02:00,50,Female,23,Clothing,3,50,26.5,150
19,2022-03-06,10:22:00,82,Male,38,Beauty,2,500,175,1000
20,2022-04-01,08:15:00,1,Male,30,Beauty,3,30,10.5,90
21,2022-01-29,07:05:00,12,Female,23,Clothing,3,50,23,150
22,2022-05-04,07:19:00,98,Male,38,Beauty,2,500,220,1000
23,2022-12-30,07:03:00,123,Female,57,Electronics,1,50,18,50
24,2022-03-25,07:37:00,68,Male,19,Beauty,2,25,6.25,50
25,2022-03-10,11:31:00,17,Female,,Electronics,2,500,190,1000
26,2022-04-15,11:38:00,16,Female,,Electronics,1,50,15.5,50
27,2022-03-01,11:29:00,130,Male,,Beauty,2,25,9.25,50
28,2022-12-25,06:24:00,67,Female,,Electronics,2,500,245,1000
29,2022-04-13,08:25:00,89,Female,,Electronics,4,30,16.2,120
30,2022-10-27,10:12:00,25,Male,,Clothing,1,500,145,500
31,2022-08-22,10:04:00,77,Female,,Electronics,4,30,10.2,120
32,2022-05-24,07:06:00,94,Male,,Clothing,1,500,185,500
33,2022-09-16,06:38:00,116,Male,,Clothing,3,25,10.75,75
34,2022-09-28,09:34:00,101,Male,,Electronics,3,25,8,75
35,2022-04-16,11:47:00,147,Male,40,Clothing,3,25,12.25,75
